image, efficiency, wastedBytes, userWastedPercent
lucasbcoelho/mongodb, 93.5021, 24519665, 13.6854
weldpua2008/nginx, 98.9640, 3404795, 5.9059
bde2020/cassandra, 98.7885, 6077408, 2.4652
frodenas/mongodb, 89.3167, 72922431, 19.5187
mhoush/mongo, 91.0840, 35419872, 13.2986
home1oss/mysql, 93.7013, 32866366, 63.1980
jkcjkc82/mongodb, 98.0065, 21173299, 6.3735
greatfox/mysql, 79.9787, 116419916, 53.0010
sillelien/cassandra, 99.3385, 3935186, 1.7245
omnisol/mysql, 98.2409, 9376792, 2.4521
maco222/mysql, 99.0552, 5303637, 1.9141
phpstorm/mysql, 97.8683, 14087947, 6.0788
decipherx/mysql, 92.7178, 50530799, 15.6143
dockerizedrupal/mysql, 98.5039, 8677851, 2.4692
mehditazi/cassandra, 98.8404, 6061258, 2.3375
alexcheng/cassandra, 98.2363, 7461487, 2.7844
gisecaromartinez/cassandra, 98.2431, 7441028, 2.7756
bigvikinggames/java, 91.1249, 41630277, 22.4076
bnusunny/nginx, 98.2009, 3598819, 6.6687
ubuntudeb/cassandra, 96.1723, 42128115, 4.7523
kreisys/cassandra, 94.9125, 49071062, 6.0739
asux/nginx, 98.1939, 3601245, 6.7105
dslabhhn/cassandra, 98.8393, 6044825, 2.3239
aakashkt/cassandra, 90.5148, 105263026, 15.9913
keybaseprivate/mysql, 98.8584, 5268234, 2.5856
ntbc/cassandra, 96.3954, 34485801, 5.3816
luiscavero/mysql, 99.3391, 3630132, 1.8233
epicsoft/nginx, 98.0168, 493991, 2.7652
dictcp/cassandra, 97.3867, 28923550, 5.0817
hubberlm/nginx, 96.5651, 13882419, 15.4748
dabsquared/nginx, 98.6592, 347534, 1.7442
tcsjh/java, 95.8447, 29066663, 5.2382
jonbrouse/mysql, 99.9441, 179599, 0.0644
hubberonline/nginx, 98.7890, 4249638, 5.6440
cobiro/nginx, 99.5794, 61239, 2.1525
jeffutter/mongodb, 95.2449, 24462835, 4.8684
ticketfly/mysql, 97.7458, 7451609, 3.7112
xaragroup/mysql, 98.7510, 5639825, 2.7632
frekele/nginx, 96.7738, 15065908, 10.3152
pushonltd/nginx, 98.9447, 200807, 1.8098
circleci/mongo, 98.6546, 6578732, 2.0384
peerlibrary/mongodb, 95.1734, 31287330, 8.8633
healthcheck/mysql, 98.5693, 8332617, 2.0328
finboxio/mongo, 98.2250, 8847741, 3.0548
qnib/mongodb, 53.8705, 1056598797, 59.9511
landier/cassandra, 99.3500, 3966014, 1.6947
qasymphony/mysql, 97.2366, 13603604, 4.3502
pixelfordinner/nginx, 98.8552, 271245, 1.7386
eswork/nginx, 99.8069, 140387, 0.2494
lashin/cassandra, 97.9466, 7873370, 3.6633
graviteeio/java, 99.7246, 256550, 0.3156
surenbika/mongo, 93.7340, 24539703, 12.6945
stratio/mongo, 96.5029, 41236151, 5.0411
patrickosborne/mongo, 51.8562, 623618706, 101.1667
zhouxiaoxiang/mysql, 98.7391, 6638077, 2.3490
washpost/mongodb, 98.8781, 6139340, 2.1268
webfatorial/nginx, 98.2544, 3533402, 6.6374
codingtony/java, 90.8967, 104043252, 13.8673
ehage/mongodb, 92.4540, 30035877, 11.6370
k200user/mysql, 60.5783, 332767712, 75.7475
wolferhua/mongo, 98.6722, 6585762, 2.0069
toru2220/nginx, 98.2055, 3585440, 6.6598
glorpen/nginx, 98.9445, 1517001, 1.3210
navyateja/mysql, 99.0176, 5282964, 2.0288
karanp/cassandra, 98.2055, 13241090, 3.5601
myprod/nginx, 96.5629, 6085008, 8.5145
tutum/nginx, 88.4104, 24462939, 133.2958
airdock/mongodb, 98.6530, 6393520, 3.0222
crunding/mysql, 99.3770, 3814863, 1.6365
marouen/mysql, 84.4740, 90252516, 24.0462
kiddom/cassandra, 98.2023, 7456983, 2.8418
racepace/nginx, 97.0372, 5549667, 7.3700
sierratecnologia/java, 94.9936, 38841226, 6.0809
kokosing/mysql, 97.0694, 21531552, 23.6717
amd64/cassandra, 98.2414, 7471574, 2.7842
mygento/mysql, 98.6087, 8154779, 2.9260
magarvey/nginx, 98.8330, 3632040, 7.3363
nextgearcapital/java, 96.5376, 33207951, 5.0042
dockerautomation1/mongo, 99.1194, 3580929, 2.0728
ericmann/java, 99.8602, 225723, 0.1568
tomasoares/mongo, 91.1302, 36240895, 13.0960
ilios/mysql, 98.2272, 8276198, 2.6026
kjunine/nginx, 83.1881, 70299136, 24.3161
evpsradiology/nginx, 98.8410, 564033, 1.3726
endika/mongodb, 90.6608, 68903864, 16.1962
airhacks/java, 95.0391, 39242108, 19.2607
konstruktoid/java, 97.5787, 13184651, 3.1544
