"","parent_image","image","official","link","pull_count","star_count","parent_image","lib_count","total_high_vuls","total_not_high_vuls","total_vuls"
"141","cassandra","stefanofontanelli/cassandra",0,"https://hub.docker.com/r/stefanofontanelli/cassandra",199,1,"cassandra",268,1,15,16
"142","cassandra","hawkularqe/cassandra",0,"https://hub.docker.com/r/hawkularqe/cassandra",832,-1,"cassandra",199,2,40,42
"143","cassandra","joseenrique/cassandra",0,"https://hub.docker.com/r/joseenrique/cassandra",193,-1,"cassandra",201,5,65,70
"144","cassandra","jimthedev/cassandra",0,"https://hub.docker.com/r/jimthedev/cassandra",733,3,"cassandra",220,1,22,23
"145","cassandra","plainpicture/cassandra",0,"https://hub.docker.com/r/plainpicture/cassandra",679,-1,"cassandra",200,5,53,58
"146","cassandra","anthonyamanse/cassandra",0,"https://hub.docker.com/r/anthonyamanse/cassandra",651,-1,"cassandra",233,5,54,59
"147","cassandra","frederikschmidt/cassandra",0,"https://hub.docker.com/r/frederikschmidt/cassandra",629,-1,"cassandra",221,2,41,43
"148","cassandra","pat2man/cassandra",0,"https://hub.docker.com/r/pat2man/cassandra",130,-1,"cassandra",173,0,0,0
"149","cassandra","rainist/cassandra",0,"https://hub.docker.com/r/rainist/cassandra",138,-1,"cassandra",201,5,65,70
"150","cassandra","activeeon/cassandra",0,"https://hub.docker.com/r/activeeon/cassandra",486,-1,"cassandra",172,3,40,43
"151","cassandra","ndegory/cassandra",0,"https://hub.docker.com/r/ndegory/cassandra",118,-1,"cassandra",201,5,62,67
"152","cassandra","mcgregorandrew/cassandra",0,"https://hub.docker.com/r/mcgregorandrew/cassandra",110,-1,"cassandra",200,5,53,58
"153","cassandra","jcampan/cassandra",0,"https://hub.docker.com/r/jcampan/cassandra",432,-1,"cassandra",243,1,24,25
"154","cassandra","audris/cassandra",0,"https://hub.docker.com/r/audris/cassandra",97,1,"cassandra",348,1,37,38
"155","cassandra","coinpit/cassandra",0,"https://hub.docker.com/r/coinpit/cassandra",352,-1,"cassandra",211,1,27,28
"156","cassandra","teja0957/cassandra",0,"https://hub.docker.com/r/teja0957/cassandra",290,-1,"cassandra",172,4,62,66
"157","cassandra","ignatiusyeow/cassandra",0,"https://hub.docker.com/r/ignatiusyeow/cassandra",74,-1,"cassandra",200,1,23,24
"158","cassandra","vovimayhem/cassandra",0,"https://hub.docker.com/r/vovimayhem/cassandra",257,-1,"cassandra",191,1,20,21
"159","cassandra","mehditazi/cassandra",0,"https://hub.docker.com/r/mehditazi/cassandra",65,-1,"cassandra",199,2,33,35
"160","cassandra","epenia/cassandra",0,"https://hub.docker.com/r/epenia/cassandra",248,-1,"cassandra",222,1,24,25
"161","cassandra","openkbs/cassandra",0,"https://hub.docker.com/r/openkbs/cassandra",208,1,"cassandra",200,5,62,67
"162","cassandra","xomaod/cassandra",0,"https://hub.docker.com/r/xomaod/cassandra",79,-1,"cassandra",220,1,22,23
"163","cassandra","podgroup/cassandra",0,"https://hub.docker.com/r/podgroup/cassandra",60,1,"cassandra",201,5,65,70
"164","cassandra","kubegun/cassandra",0,"https://hub.docker.com/r/kubegun/cassandra",197,-1,"cassandra",231,1,24,25
"165","cassandra","wen777/cassandra",0,"https://hub.docker.com/r/wen777/cassandra",196,-1,"cassandra",215,3,47,50
"166","cassandra","lucilecoutouly/cassandra",0,"https://hub.docker.com/r/lucilecoutouly/cassandra",207,-1,"cassandra",316,5,52,57
"167","cassandra","iwsaas/cassandra",0,"https://hub.docker.com/r/iwsaas/cassandra",183,-1,"cassandra",220,1,21,22
"168","cassandra","dslabhhn/cassandra",0,"https://hub.docker.com/r/dslabhhn/cassandra",193,-1,"cassandra",199,2,40,42
"169","cassandra","meabed/cassandra",0,"https://hub.docker.com/r/meabed/cassandra",175,-1,"cassandra",405,0,0,0
"170","cassandra","sdtdensimag/cassandra",0,"https://hub.docker.com/r/sdtdensimag/cassandra",169,-1,"cassandra",201,5,65,70
"171","cassandra","rupeshrajkarn/cassandra",0,"https://hub.docker.com/r/rupeshrajkarn/cassandra",166,-1,"cassandra",249,4,65,69
"172","cassandra","meabed/cassandra",0,"https://hub.docker.com/r/meabed/cassandra",175,-1,"cassandra",405,0,0,0
"173","cassandra","criblesoftware/cassandra",0,"https://hub.docker.com/r/criblesoftware/cassandra",58,-1,"cassandra",203,2,33,35
"174","cassandra","prajnainc/cassandra",0,"https://hub.docker.com/r/prajnainc/cassandra",53,-1,"cassandra",203,2,40,42
"175","cassandra","prajnainc/cassandra",0,"https://hub.docker.com/r/prajnainc/cassandra",53,-1,"cassandra",203,2,40,42
"176","cassandra","lesongjia/cassandra",0,"https://hub.docker.com/r/lesongjia/cassandra",127,-1,"cassandra",220,1,21,22
"177","cassandra","frosenberg/cassandra",0,"https://hub.docker.com/r/frosenberg/cassandra",136,-1,"cassandra",175,0,0,0
"178","cassandra","lesongjia/cassandra",0,"https://hub.docker.com/r/lesongjia/cassandra",127,-1,"cassandra",220,1,21,22
"179","cassandra","lrodriguez2002cu/cassandra",0,"https://hub.docker.com/r/lrodriguez2002cu/cassandra",41,-1,"cassandra",205,5,65,70
"180","cassandra","datawiseio/cassandra",0,"https://hub.docker.com/r/datawiseio/cassandra",121,-1,"cassandra",220,1,22,23
