"","image","parent_image","efficiency","wastedBytes","userWastedPercent","os","tag_name","size","val"
"319","funcy/java","java",99.5124,656853,0.9273,"alpine","latest",53855485,1
"320","fusonic/mysql","mysql",98.2199,8278849,2.6144,"debian","latest",123836741,1
"321","garlic/nginx","nginx",96.5095,13804826,17.2075,"debian","latest",89262771,1
"322","gatoralli/cassandra","cassandra",100,0,0,"ubuntu","latest",384814631,1
"323","gautam/mysql","mysql",89.8315,41033016,8.835,"ubuntu","latest",147370420,1
"324","gazpowell/mongodb","mongo",89.4711,43421473,7.6199,"ubuntu","latest",205641064,1
"325","gcarre/java","java",99.7058,2661714,0.653,"debian","latest",236383733,1
"326","gears/mongodb","mongo",99.927,212988,0.0837,"alpine","latest",98398788,1
"327","gebele/mongodb","mongo",99.9741,60200,0.0419,"alpine","latest",66059757,1
"328","gebizar/mysql","mysql",98.6278,8306026,1.9352,"debian","latest",137705106,1
"329","genebarker/java","java",99.2248,4011390,2.4203,"debian","latest",125566724,1
"330","gennitor/cassandra","cassandra",92.5419,30249196,17.466,"ubuntu","latest",158694944,1
"331","gerbermichi/cassandra","cassandra",98.8393,6044825,2.3239,"debian","latest",161769211,1
"332","geru/mongodb","mongo",98.7825,6169618,2.1902,"debian","latest",132105105,1
"333","geschke/mongodb","mongo",99.4149,3621370,1.5617,"debian","latest",122807691,1
"334","getteaminsight/mongodb","mongo",95.9517,47361879,12.1263,"centos","latest",210651775,1
"335","getuojian/mysql","mysql",98.7203,6777086,2.6529,"debian","latest",129334521,1
"336","gewo/mongodb","mongo",91.7939,65401402,18.0085,"ubuntu","latest",200256619,1
"337","ginolegaltechparis/nginx","nginx",96.9674,5811868,8.8965,"debian","latest",53975082,1
"338","girish/mysql","mysql",87.9401,137732629,15.1909,"ubuntu","latest",348564120,1
"339","gisecaromartinez/cassandra","cassandra",98.2431,7441028,2.7756,"debian","latest",132733107,1
"340","gjchen/nginx","nginx",93.0906,1923011,16.5947,"alpine","latest",6804047,1
"341","glorpen/nginx","nginx",98.9445,1517001,1.321,"alpine","latest",38635466,1
"342","glot/java","java",98.6054,12684074,2.4218,"debian","latest",244653970,1
"343","google/mysql","mysql",95.1505,22862123,8.4032,"debian","latest",96687899,1
"344","gorillajs/mysql","mysql",90.1558,78336807,22.828,"ubuntu","latest",210511897,1
"345","goyalkaruna03/mongodb","mongo",94.3227,24560243,10.4952,"ubuntu","latest",157398905,1
"346","gpdowning/java","java",98.9328,12886359,1.4108,"debian","latest",536899754,1
"347","grapeupci/java","java",97.5047,15478894,3.1297,"ubuntu","latest",227330249,1
"348","graviteeio/java","java",99.7246,256550,0.3156,"alpine","latest",58746934,1
"349","greatfox/mysql","mysql",79.9787,116419916,53.001,"ubuntu","latest",139163543,1
"350","gregbk/nginx","nginx",98.9621,3399035,5.7854,"debian","latest",71599910,1
"351","gridium/nginx","nginx",98.2007,3597369,6.6711,"debian","latest",44726168,1
"352","gristoi/mysql","mysql",93.7722,34901126,7.4809,"ubuntu","latest",0,1
"353","gsong/nginx","nginx",98.9404,255057,1.5731,"alpine","latest",8664810,1
"354","guesttoguest/mongodb","mongo",99.1966,4023180,2.2687,"debian","latest",110164576,1
"355","guesttoguest/nginx","nginx",98.7932,3837297,5.8402,"debian","latest",74884909,1
"356","haroungzh/mysql","mysql",98.4988,8309268,2.1431,"debian","latest",129391993,1
"357","hasnimehdi2020/mongo","mongo",98.5679,6580212,2.1973,"ubuntu","latest",147286427,1
"358","hawkularqe/cassandra","cassandra",98.8393,6044825,2.3239,"debian","latest",161769904,1
"359","healthcheck/mongo","mongo",98.6546,6578732,2.0384,"ubuntu","latest",147656869,1
"360","healthcheck/mysql","mysql",98.5693,8332617,2.0328,"debian","latest",136676439,1
"361","heathrow/mysql","mysql",97.5751,10989511,3.335,"debian","latest",129579917,1
"362","heroku/java","java",95.6041,123923595,9.0287,"ubuntu","latest",562733518,1
"363","hibu/mongodb","mongo",96.1275,42565671,7.7449,"centos","latest",201391123,1
"364","hleon256/nginx","nginx",98.9675,3421671,5.8248,"debian","latest",71751464,1
"365","home1oss/mysql","mysql",93.7013,32866366,63.198,"debian","latest",107442186,1
"366","honux77/mysql","mysql",67.9313,438271212,61.0412,"ubuntu","latest",192628212,1
"367","hope/mongodb","mongo",99.1968,3248231,1.5068,"alpine","latest",78134171,1
"368","horx/mysql","mysql",99.2562,3378898,1.7013,"debian","latest",96856652,1
"369","hreeinfodb/mongo","mongo",99.9606,132151,0.0523,"alpine","latest",95462271,1
"370","huahaiy/cassandra","cassandra",98.114,15412239,2.0615,"debian","latest",451078668,1
"371","hubberlm/nginx","nginx",96.5651,13882419,15.4748,"debian","latest",93988817,1
"372","hubberonline/nginx","nginx",98.789,4249638,5.644,"debian","latest",87367041,1
"373","hunet/java","java",97.5187,9811220,5.1265,"debian","latest",125137321,1
"374","hybsearch/java","java",98.5613,6363919,2.4828,"debian","latest",113078121,1
"375","i386/cassandra","cassandra",98.174,7450286,2.9222,"debian","latest",132939927,1
"376","i386/java","java",98.8599,9351863,1.8099,"debian","latest",246906325,1
"377","i386/nginx","nginx",98.4535,3643933,6.2629,"debian","latest",52272808,1
"378","iacopo/nginx","nginx",98.9843,3696186,4.0543,"debian","latest",83383299,1
"379","iadvize/nginx","nginx",99.0358,3841118,3.2743,"debian","latest",93854211,1
"380","ibmcase/mysql","mysql",98.2576,10075984,2.8923,"debian","latest",174955650,1
"381","icebear8/nginx","nginx",94.1366,3555662,12.8361,"alpine","latest",17196189,1
"382","icescrum/mysql","mysql",98.0915,7450023,3.0144,"debian","latest",102690504,1
"383","iconviet/nginx","nginx",98.9389,251122,1.5786,"alpine","latest",8771695,1
"384","idalko/java","java",92.4117,100668113,10.0458,"ubuntu","latest",559311850,1
"385","idoall/mysql","mysql",99.0494,5335396,1.9255,"debian","latest",137831953,1
"386","ignatiusyeow/cassandra","cassandra",99.1966,5078123,2.0223,"debian","latest",156092909,1
"387","ignatov/mysql","mysql",99.3956,3274065,1.2919,"debian","latest",114509774,1
"388","ikimea/nginx","nginx",97.3931,5840053,5.7047,"debian","latest",68034439,1
"389","ikoobdevops/mongodb","mongo",98.7267,6442659,2.292,"debian","latest",132394055,1
"390","ikovacevic/java","java",89.0709,77069328,14.2645,"ubuntu","latest",310243649,1
"391","ilios/mysql","mysql",98.2272,8276198,2.6026,"debian","latest",124108444,1
"392","ilios/nginx","nginx",51.897,106860571,98.7961,"alpine","latest",22670749,1
"393","imanticsiot/java","java",83.7322,147506498,21.6682,"ubuntu","latest",311174785,1
"394","imolko/mongo","mongo",98.2557,8221884,2.8412,"debian","latest",135328815,1
"395","imolko/mongodb","mongo",97.8194,6646505,3.4482,"debian","latest",87728061,1
"396","incodehq/java","java",99.9206,77837,0.1103,"alpine","latest",53726783,1
"397","infomir/nginx","nginx",97.2582,6190372,6.6367,"debian","latest",61237461,1
"398","infrascloudy/mongo","mongo",89.3323,68612652,20.6443,"ubuntu","latest",185463894,1
"399","innolend/nginx","nginx",99.0798,146904,1.7297,"alpine","latest",5868325,1
"400","integrisio/cassandra","cassandra",98.1877,9497161,3.5811,"debian","latest",165451182,1
"401","iottech/cassandra","cassandra",96.227,30752463,7.1195,"centos","latest",160952381,1
"402","ip2location/mysql","mysql",99.5371,3637479,0.968,"debian","latest",109964128,1
"403","ipunktbs/nginx","nginx",94.7377,24880794,12.2831,"debian","latest",88592744,1
"404","iron/java","java",96.9173,6446455,6.3853,"alpine","latest",41464324,1
"405","irraz/mysql","mysql",90.0002,60794474,19.4646,"debian","latest",98390731,1
"406","isaldarriaga/cassandra","cassandra",87.0859,138493970,21.036,"ubuntu","latest",382535067,1
"407","isom/mysqldb","mysql",93.3123,38083804,11.8081,"ubuntu","latest",144760249,1
"408","itiqiti/mongodb","mongo",98.8968,6007398,2.0201,"debian","latest",144636719,1
"409","itiqiti/nginx","nginx",99.7058,78900,0.4952,"alpine","latest",8926449,1
"410","ivories/mysql","mysql",99.8895,196184,0.13,"alpine","latest",46124295,1
"411","ivories/nginx","nginx",99.3961,75491,4.7083,"alpine","latest",3436372,1
"412","iwsaas/cassandra","cassandra",98.9449,6632290,2.8896,"debian","latest",166212598,1
"413","ixbox/nginx","nginx",99.5914,44761,3.5465,"alpine","latest",2936983,1
"414","jacksoncage/mongo","mongo",82.056,188869891,31.7729,"ubuntu","latest",236455726,1
"415","java4job/java","java",98.3448,23083740,3.0875,"fedora","latest",256324224,1
"416","jbanetwork/mongodb","mongo",98.9073,5245336,2.3903,"debian","latest",123436447,1
"417","jcampan/cassandra","cassandra",99.0832,12830341,1.4765,"debian","latest",569668672,1
"418","jcdecaux/mongodb","mongo",91.3226,36401187,57.5047,"rhel","latest",92577465,1
"419","jeffutter/mongodb","mongo",95.2449,24462835,4.8684,"ubuntu","latest",202825518,1
"420","jelastic/mysql","mysql",83.4378,410755796,26.1627,"centos","latest",473025512,1
"421","jeromefitz/mongodb","mongo",93.4597,26992902,9.8126,"ubuntu","latest",151103441,1
"422","jerson/nginx","nginx",95.4519,1529076,10.5839,"alpine","latest",7399248,1
"423","jesuejunior/nginx","nginx",88.8562,24388972,96.4518,"ubuntu","latest",88867498,1
"424","jetlabs/mongodb","mongo",93.7925,24560800,12.4047,"ubuntu","latest",148912578,1
"425","jianhao/mongodb","mongo",93.4996,28575488,9.0455,"ubuntu","latest",172933520,1
"426","jimthedev/cassandra","cassandra",99.3432,4017931,1.6923,"debian","latest",170071541,1
"427","jjusianiec/cassandra","cassandra",98.2138,7548917,2.8173,"debian","latest",132339404,1
"428","jkcjkc82/mongodb","mongo",98.0065,21173299,6.3735,"centos","latest",200166096,1
"429","jkingyens/mongodb","mongo",82.2567,174967072,30.7086,"ubuntu","latest",194638720,1
"430","jkoreska/nginx","nginx",98.6232,2673150,15.8515,"debian","latest",49142357,1
"431","jkosgei/mysql","mysql",99.0155,5312132,2.0478,"debian","latest",131286599,1
"432","jmaulion/cassandra","cassandra",98.2429,7439966,2.777,"debian","latest",132623122,1
"433","johnny2015/mysql","mysql",99.9998,1872,198.5154,"debian","latest",179438388,1
"434","johnsmith0209/mysql","mysql",82.7926,110209607,24.589,"ubuntu","latest",152628282,1
"435","jojo13572001/mongodb","mongo",99.6154,2762039,1.1383,"debian","latest",153596594,1
"436","jonathans121/cassandra","cassandra",95.3655,40128709,7.3844,"ubuntu","latest",326897434,1
"437","jonbrouse/mysql","mysql",99.9441,179599,0.0644,"alpine","latest",50975217,1
"438","jooyeong/cassandra","cassandra",90.5601,46247818,11.1393,"debian","latest",164217075,1
"439","jordi/nginx","nginx",81.7013,65169848,24.6185,"ubuntu","latest",148066030,1
"440","joseenrique/cassandra","cassandra",98.6475,7116245,2.7111,"debian","latest",165239071,1
"441","josuediaz91/mongodb","mongo",84.7917,69276993,20.6793,"ubuntu","latest",176746654,1
"442","jpgriffo/java","java",99.6184,4476302,0.5886,"debian","latest",383440321,1
"443","jpkroehling/cassandra","cassandra",82.5849,135520018,43.6699,"centos","latest",205912622,1
"444","juanpedromoreno/cassandra","cassandra",73.7489,383875394,34.4976,"centos","latest",534513618,1
"445","junghoo/mysql","mysql",97.2606,27641688,3.1717,"ubuntu","latest",366957593,1
"446","jwaldrip/mysql","mysql",88.0107,85271190,20.2559,"ubuntu","latest",115927359,1
"447","k200user/mongodb","mongo",92.1158,36174666,10.9873,"ubuntu","latest",184494321,1
"448","k200user/mysql","mysql",60.5783,332767712,75.7475,"centos","latest",205498260,1
"449","kapost/mongo","mongo",98.3059,5259621,2.8404,"debian","latest",84531421,1
"450","karanp/cassandra","cassandra",98.2055,13241090,3.5601,"debian","latest",208658788,1
"451","kardasz/mongodb","mongo",99.1935,4525821,1.8176,"debian","latest",130483532,1
"452","kardasz/nginx","nginx",97.9761,4673937,14.9398,"debian","latest",71737587,1
"453","karhoo/mysql","mysql",98.2216,8273000,2.6125,"debian","latest",123835479,1
"454","karrieretutor/nginx","nginx",96.5402,7487231,10.264,"debian","latest",58209448,1
"455","karun74/mysql","mysql",99.2482,3443422,1.7396,"debian","latest",96628068,1
"456","kavlez/java","java",98.9599,9990911,1.5762,"debian","latest",328480577,1
"457","kdihalas/mongodb","mongo",100,0,0,"ubuntu","latest",195224900,1
"458","keks/mongodb","mongo",84.0331,116190436,46.0111,"ubuntu","latest",164598563,1
"459","kengsarun/mongo","mongo",98.9962,4494253,1.8588,"debian","latest",112520858,1
"460","kennship/cassandra","cassandra",72.1556,154005803,31.7391,"centos","latest",190416581,1
"461","keopx/mysql","mysql",88.1485,76016443,14.7518,"debian","latest",225847686,1
"462","keybaseprivate/mysql","mysql",98.8584,5268234,2.5856,"debian","latest",112599923,1
"463","kharmajbird/mongo","mongo",98.906,5266292,2.3998,"debian","latest",123439667,1
"464","kiddom/cassandra","cassandra",98.2023,7456983,2.8418,"debian","latest",127742514,1
"465","kirklatslalom/mysql","mysql",98.899,5146035,2.0057,"debian","latest",118773083,1
"466","kiskae/cassandra","cassandra",95.0271,27819165,6.9556,"debian","latest",189310533,1
"467","kjunine/mongodb","mongo",91.0216,74844466,13.2028,"ubuntu","latest",229293799,1
"468","kjunine/nginx","nginx",83.1881,70299136,24.3161,"ubuntu","latest",118495660,1
"469","kkalandyk/cassandra","cassandra",92.1385,105187706,11.8751,"ubuntu","latest",585570054,1
"470","klabs/mysql","mysql",97.8208,8357149,4.7163,"debian","latest",105459794,1
"471","klaemo/nginx","nginx",79.3738,69438516,23.6877,"ubuntu","latest",95305346,1
"472","klemenb/mysql","mysql",98.503,8315437,2.1356,"debian","latest",129987188,1
"473","kmurakawa/mysql","mysql",99.3885,3727188,1.5879,"debian","latest",123012466,1
"474","kobotoolbox/mongo","mongo",80.7081,298183607,39.7489,"ubuntu","latest",336555937,1
"475","kokosing/mysql","mysql",97.0694,21531552,23.6717,"oracle","latest",136110175,1
"476","kolesnikovkonstantin/cassandra","cassandra",99.3041,4682150,1.4968,"debian","latest",178624663,1
"477","konstruktoid/java","java",97.5787,13184651,3.1544,"ubuntu","latest",300632333,1
"478","konstruktoid/mongodb","mongo",88.7029,46216975,15.5484,"debian","latest",152152048,1
"479","konstruktoid/nginx","nginx",85.5229,1689565,38.937,"alpine","latest",5691051,1
"480","kreable/nginx","nginx",76.3195,138968621,57.7998,"ubuntu","latest",134992253,1
"481","kreisys/cassandra","cassandra",94.9125,49071062,6.0739,"ubuntu","latest",359195220,1
"482","krispharper/nginx","nginx",97.7044,5669973,4.7828,"debian","latest",70247841,1
"483","ksean/mysql","mysql",82.8261,64928098,18.6519,"ubuntu","latest",118370743,1
"484","kubegun/cassandra","cassandra",98.4809,7529278,3.1224,"debian","latest",169887794,1
"485","kubekit/cassandra","cassandra",98.7811,7128172,2.1124,"debian","latest",155750087,1
"486","kuberdock/mysql","mysql",99.0166,5303862,2.0446,"debian","latest",131287537,1
"487","kursatkeles/mysql","mysql",99.009,5270645,2.0755,"debian","latest",129268501,1
"488","kuzaxak/nginx","nginx",96.2745,4160545,7.4798,"alpine","latest",19653908,1
"489","kymy/mongodb","mongo",99.0652,5269849,1.8956,"debian","latest",150102504,1
"490","labdocker/mysql","mysql",98.6278,8306026,1.9352,"debian","latest",137704741,1
"491","landier/cassandra","cassandra",99.35,3966014,1.6947,"debian","latest",167582398,1
"492","laradock/mysql","mysql",68.7671,300712224,87.4333,"ubuntu","latest",183706444,1
"493","lashin/cassandra","cassandra",97.9466,7873370,3.6633,"debian","latest",134288374,1
"494","lastbackend/mongodb","mongo",93.5175,24544419,13.5877,"ubuntu","latest",138965990,1
"495","lbanchio/mysql","mysql",99.3959,3717645,1.5742,"debian","latest",123592837,1
"496","leanlabs/nginx","nginx",99.3522,80771,5.468,"alpine","latest",3081530,1
"497","learninglayers/mysql","mysql",88.6901,56115057,20.446,"ubuntu","latest",168076212,1
"498","lefan/cassandra","cassandra",67.2885,307138068,38.8714,"centos","latest",0,1
"499","leonidlm/cassandra","cassandra",90.7522,61493441,13.8155,"ubuntu","latest",178223502,1
"500","lesongjia/cassandra","cassandra",98.9376,6684208,2.912,"debian","latest",0,1
"501","ley21/nginx","nginx",98.9311,3487236,4.5889,"debian","latest",84518878,1
"502","libertaria/nginx","nginx",79.3566,70980365,37.6089,"alpine","latest",72592788,1
"503","linarotechnologies/nginx","nginx",99.6224,78988,0.6836,"alpine","latest",7037042,1
"504","linntroll/mysql","mysql",99.3957,3690524,1.5691,"debian","latest",123148283,1
"505","linuxconfig/nginx","nginx",98.933,3500555,4.5789,"debian","latest",85022255,1
"506","linuxserver/mysql","mysql",61.9934,334455594,96.989,"ubuntu","latest",177094055,1
"507","liorsep/nginx","nginx",98.2009,3595865,6.6518,"debian","latest",44798098,1
"508","liudonghua123/mongodb","mongo",88.463,66309818,33.1333,"ubuntu","latest",0,1
"509","liumiaocn/mysql","mysql",98.8116,6647941,2.1525,"debian","latest",132018537,1
"510","livingobjects/mysql","mysql",97.8785,15033983,5.2236,"debian","latest",143981342,1
"511","livingobjects/nginx","nginx",65.5776,10421952,81.8406,"alpine","latest",8460868,1
"512","livingstoneonline/mysql","mysql",99.9018,234693,0.1091,"alpine","latest",65656806,1
"513","loblaw/mongodb","mongo",99.0678,5266216,1.8883,"debian","latest",150376365,1
"514","loggi/java","java",99.8915,177286,0.1246,"alpine","latest",53574198,1
"515","loky9000/nginx","nginx",89.5208,24397147,61.5606,"ubuntu","latest",94874194,1
"516","lol233/java","java",93.0528,64886399,12.5592,"ubuntu","latest",284075599,1
"517","lovedeer/mongodb","mongo",90.9782,41207642,12.8749,"ubuntu","latest",172265747,1
"518","lrodriguez2002cu/cassandra","cassandra",98.242,9435435,3.0893,"debian","latest",189874730,1
"519","lucasbcoelho/mongodb","mongo",93.5021,24519665,13.6854,"ubuntu","latest",138120174,1
"521","lucianmachado/mongo","mongo",98.7994,6188141,2.1576,"debian","latest",130529783,1
"522","lucilecoutouly/cassandra","cassandra",98.8494,10005596,1.75,"debian","latest",285109847,1
"523","luis/mongodb","mongo",91.6286,36480391,11.8803,"ubuntu","latest",167490793,1
"524","luiscavero/mysql","mysql",99.3391,3630132,1.8233,"debian","latest",111143705,1
"525","lukaszm/mongodb","mongo",96.834,13603228,5.2961,"debian","latest",139368657,1
"526","luke92/cassandra","cassandra",91.9481,88860633,12.9505,"ubuntu","latest",387292595,1
"527","lysender/mysql","mysql",77.0929,282334412,50.0687,"ubuntu","latest",162811444,1
"528","m4n1ch/mysql","mysql",89.3499,93654964,19.9868,"centos","latest",243544696,1
"529","m6web/mysql","mysql",99.0494,5335396,1.9254,"debian","latest",137832544,1
"530","maaydin/nginx","nginx",98.4782,4622782,5.7554,"debian","latest",88124928,1
"531","macfly/cassandra","cassandra",98.6428,7116525,2.7247,"debian","latest",165024108,1
"532","macmillan/mongodb","mongo",88.0327,113784747,20.3899,"centos","latest",195327957,1
"533","maco222/mysql","mysql",99.0552,5303637,1.9141,"debian","latest",137830227,1
"534","maersk/nginx","nginx",91.8186,17597629,25.011,"debian","latest",81849033,1
"535","maestrano/mysql","mysql",97.9243,13126907,4.5012,"debian","latest",145072771,1
"536","magarvey/nginx","nginx",98.833,3632040,7.3363,"debian","latest",70721023,1
"537","mailu/nginx","nginx",97.3997,6595343,4.5522,"alpine","latest",47173463,1
"538","makeusabrew/mongodb","mongo",100,0,0,"ubuntu","latest",259650048,1
"539","mapic/mongo","mongo",98.7784,6169201,2.1996,"debian","latest",131856174,1
"540","marcialr/mysql","mysql",82.8767,56625861,17.8005,"ubuntu","latest",94889766,1
"541","markusma/mongodb","mongo",85.917,101612471,29.49,"ubuntu","latest",193217192,1
"542","marmotcai/java","java",95.8386,35865171,5.0477,"ubuntu","latest",472791219,1
"543","marouen/mysql","mysql",84.474,90252516,24.0462,"ubuntu","latest",127023979,1
"544","mateusmiranda/mysql","mysql",94.2291,38852926,10.4008,"ubuntu","latest",166105934,1
"545","matlockx/cassandra","cassandra",97.6592,22145007,6.17,"centos","latest",246229595,1
"546","matuskocka/mongodb","mongo",96.5581,23854382,8.3477,"fedora-modular","latest",148576540,1
"547","maxexcloo/java","java",99.5196,5688937,0.7669,"debian","latest",489662989,1
"548","maxexcloo/nginx","nginx",98.8986,4226952,3.4783,"debian","latest",98122507,1
"549","maxking/mysql","mysql",98.5075,8295631,2.13,"debian","latest",127029707,1
"550","mazdahws/mysql","mysql",97.948,8584718,2.9793,"ubuntu","latest",112544100,1
"551","mbentley/mysql","mysql",99.3432,3747918,2.1407,"debian","latest",101858602,1
"552","mcgregorandrew/cassandra","cassandra",98.7456,6453521,2.4493,"debian","latest",162076104,1
"553","mcuz/mongo","mongo",98.7962,4508511,2.4223,"debian","latest",97237244,1
"554","meabed/cassandra","cassandra",98.9208,12019653,1.3103,"debian","latest",466470279,1
"555","mediamoose/mysql","mysql",98.0911,10327377,2.5958,"debian","latest",155432276,1
"556","mehditazi/cassandra","cassandra",98.8404,6061258,2.3375,"debian","latest",161270038,1
"557","metatronx/mysql","mysql",98.2174,8278845,2.6186,"debian","latest",123685263,1
"558","meuralnetgear/nginx","nginx",98.4184,3649880,6.4297,"debian","latest",50667554,1
"559","mgbi/mongo","mongo",97.9816,8174542,3.4372,"debian","latest",110064150,1
"560","mhcii/mysql","mysql",98.6046,8331611,1.9758,"debian","latest",136053760,1
"561","mhoush/mongo","mongo",91.084,35419872,13.2986,"ubuntu","latest",134188075,1
"562","miaoyq/cassandra","cassandra",90.5111,105314338,16.0003,"ubuntu","latest",376660327,1
"563","micard/mysql","mysql",99.0166,5289480,2.0311,"debian","latest",131649655,1
"564","microimages/mysql","mysql",94.7346,5455888,5.5426,"alpine","latest",31856745,1
"565","miguelpeixe/nginx","nginx",99.7958,52158,0.4491,"alpine","latest",6761000,1
"566","miko2u/mysql","mysql",95.3233,60496005,7.5999,"centos","latest",222705576,1
"567","miko2u/nginx","nginx",91.0456,39079875,145.047,"centos","latest",80280167,1
"568","minidocks/java","java",99.567,606621,0.8054,"alpine","latest",56562532,1
"569","minorut/mysql","mysql",98.1623,8090522,3.6041,"debian","latest",120037992,1
"570","misecichin/nginx","nginx",98.1989,3597896,6.6823,"debian","latest",44698331,1
"571","mishamx/mysql","mysql",98.5544,7712411,2.7082,"debian","latest",144201061,1
"572","mishamx/nginx","nginx",98.5622,3831019,16.8933,"debian","latest",63396573,1
"573","mjrone/mysql","mysql",98.6046,8331621,1.9758,"debian","latest",136056182,1
"574","mlda065/cassandra","cassandra",83.856,219056249,29.3953,"ubuntu","latest",426878735,1
"575","mobsted/nginx","nginx",98.2051,3585412,6.6629,"debian","latest",44670138,1
"576","moderntribe/mysql","mysql",99.9004,196701,0.1195,"alpine","latest",51578195,1
"577","moztr/nginx","nginx",99.5714,50759,1.9614,"alpine","latest",3870598,1
"578","mpl7/mongo","mongo",93.7661,31284441,7.0397,"ubuntu","latest",178147617,1
"579","mravi/mongodb","mongo",56.1726,557707290,100.1528,"debian","latest",232439967,1
"580","mrlesmithjr/mysql","mysql",99.6822,874855,0.3312,"alpine","latest",79541302,1
"581","mschoch/java","java",93.241,59739077,16.513,"debian","latest",228303767,1
"582","mserrate/cassandra","cassandra",91.2872,62089401,13.6806,"ubuntu","latest",298540122,1
"583","mswebmaster/mysql","mysql",99.9055,187182,0.109,"alpine","latest",51011550,1
"584","mszcodewise/cassandra","cassandra",77.96,112136613,22.5121,"ubuntu","latest",240290548,1
"585","mukeshrajmca/mysql","mysql",98.5076,8313209,2.1345,"debian","latest",124533869,1
"586","munkyboy/cassandra","cassandra",99.5724,4159256,0.5413,"ubuntu","latest",394142061,1
"587","munkyboy/java","java",96.3648,40021682,5.1591,"ubuntu","latest",415347875,1
"588","murrays/mongo","mongo",95.9765,37545568,7.4815,"ubuntu","latest",186731041,1
"589","musashisakamoto/mysql","mysql",98.2255,8276198,2.6057,"debian","latest",124151812,1
"590","mygento/mysql","mysql",98.6087,8154779,2.926,"debian","latest",150845831,1
"591","mygento/nginx","nginx",98.8975,3646720,2.8271,"debian","latest",68360714,1
"592","myprod/nginx","nginx",96.5629,6085008,8.5145,"debian","latest",51191221,1
"593","mystrength/nginx","nginx",95.6694,25996617,12.4294,"debian","latest",139820111,1
"594","nafajardo/cassandra","cassandra",76.8451,154390519,39.4435,"debian","latest",206239600,1
"595","nangualin/nginx","nginx",99.7944,52278,0.4518,"alpine","latest",6761627,1
"596","nanofi/mysql","mysql",99.0724,5417585,1.8407,"debian","latest",146882823,1
"597","nasqueron/mysql","mysql",98.6277,8306954,1.9354,"debian","latest",137705015,1
"598","naturalintelligence/java","java",99.1194,9257074,1.3393,"debian","latest",311994656,1
"599","navicore/cassandra","cassandra",98.7116,6665611,2.4643,"debian","latest",166408328,1
"600","navyateja/mysql","mysql",99.0176,5282964,2.0288,"debian","latest",131617466,1
"601","ncarlier/cassandra","cassandra",98.6316,7170918,2.7131,"debian","latest",177873436,1
"602","ndegory/cassandra","cassandra",98.6451,7148367,2.7233,"debian","latest",165249737,1
"603","netbisect/java","java",99.8908,109007,0.1401,"alpine","latest",56519342,1
"604","netknight/java","java",98.5207,13429005,2.281,"debian","latest",275601458,1
"605","nextgearcapital/java","java",96.5376,33207951,5.0042,"ubuntu","latest",489629736,1
"606","nexusmicro/mongodb","mongo",93.5725,32451294,11.5474,"ubuntu","latest",168399301,1
"607","nexusstats/mongo","mongo",99.6449,1802822,0.6004,"alpine","latest",110347936,1
"608","niccaman/mysql","mysql",98.2848,8205252,3.2051,"debian","latest",140034586,1
"609","nicomalig/mysql","mysql",98.22,8296435,2.6199,"debian","latest",123845830,1
"610","nightech/nginx","nginx",96.7011,5803352,8.5691,"debian","latest",50149977,1
"611","nimmis/java","java",91.4962,61530008,13.2463,"ubuntu","latest",226989410,1
"612","nirmalgupta/cassandra","cassandra",98.8084,6064660,2.4137,"debian","latest",177216815,1
"613","nitra/mongo","mongo",77.3666,240429343,35.9999,"centos","latest",232654343,1
"614","notnoopci/mongo","mongo",98.7985,6169157,2.1535,"debian","latest",130406419,1
"615","notnoopci/mysql","mysql",98.557,7702018,2.7009,"debian","latest",144378543,1
"616","nrandell/mongo","mongo",99.6351,2644263,0.7002,"debian","latest",153683635,1
"617","ntbc/cassandra","cassandra",96.3954,34485801,5.3816,"centos","latest",295468946,1
"618","nvucinic/nginx","nginx",71.0174,141308074,113.3497,"debian","latest",111751344,1
"619","nyccamp/mysql","mysql",84.2459,82496465,20.2428,"ubuntu","latest",118781918,1
"620","nymediaas/nginx","nginx",98.1896,3606722,6.7201,"debian","latest",44603572,1
"621","objectsystems/mysql","mysql",97.7466,13510329,7.0561,"oracle","latest",116337589,1
"622","ocaner/cassandra","cassandra",98.6234,7440887,2.744,"debian","latest",166376029,1
"623","oddlid/nginx","nginx",94.5592,3387808,11.4308,"alpine","latest",14492533,1
"624","odpks/java","java",99.7141,373759,0.3173,"alpine","latest",82164698,1
"625","ohmcoe/nginx","nginx",98.4249,3646482,6.3846,"debian","latest",50834001,1
"626","olcms/nginx","nginx",99.7755,55083,0.4785,"alpine","latest",6742068,1
"627","oliverwehn/mongodb","mongo",93.7338,24541276,12.6946,"ubuntu","latest",142505624,1
"628","omneedia/nginx","nginx",98.7401,2807093,2.8451,"ubuntu","latest",77364419,1
"629","omnisol/mysql","mysql",98.2409,9376792,2.4521,"debian","latest",150819538,1
"630","openapphack/mongodb","mongo",85.4597,56472219,32.3323,"ubuntu","latest",141306745,1
"631","openbmp/mysql","mysql",93.8461,67035104,8.5431,"ubuntu","latest",278252694,1
"632","openeats/nginx","nginx",99.783,53943,0.4682,"alpine","latest",6746295,1
"633","openflightmaps/mysql","mysql",99.4272,3630505,1.4579,"debian","latest",127817730,1
"634","openhades/nginx","nginx",90.0995,42760339,171.8541,"centos","latest",77864702,1
"635","openkbs/cassandra","cassandra",98.4488,7906292,3.0066,"debian","latest",165169627,1
