,parent_image,image,link,description type,
11323,cassandra,epenia/cassandra,https://hub.docker.com/r/epenia/cassandra,no,
125736,nginx,nginx,https://hub.docker.com/r/nginx,good,
55974,java,tcsjh/java,https://hub.docker.com/r/tcsjh/java,good,
139166,nginx,mishamx/nginx,https://hub.docker.com/r/mishamx/nginx,weak,
141796,nginx,qasymphony/nginx,https://hub.docker.com/r/qasymphony/nginx,good,
145496,nginx,verbling/nginx,https://hub.docker.com/r/verbling/nginx,no,
96378,mysql,codenvy/mysql,https://hub.docker.com/r/codenvy/mysql,no,
144423,nginx,talklead/nginx,https://hub.docker.com/r/talklead/nginx,no,
86907,mongo,triply/mongodb,https://hub.docker.com/r/triply/mongodb,good,
113141,mysql,mishamx/mysql,https://hub.docker.com/r/mishamx/mysql,weak,
136386,nginx,karrieretutor/nginx,https://hub.docker.com/r/karrieretutor/nginx,no,
41267,java,cityofsurrey/java,https://hub.docker.com/r/cityofsurrey/java,no,
64032,mongo,chrisgarrett/mongo,https://hub.docker.com/r/chrisgarrett/mongo,weak,
64797,mongo,corpusops/mongo,https://hub.docker.com/r/corpusops/mongo,no,
134627,nginx,hubberonline/nginx,https://hub.docker.com/r/hubberonline/nginx,no,
110554,mysql,lysender/mysql,https://hub.docker.com/r/lysender/mysql,good,
132046,nginx,eswork/nginx,https://hub.docker.com/r/eswork/nginx,weak,
122714,mysql,velmuruganv/mysql,https://hub.docker.com/r/velmuruganv/mysql,no,
100622,mysql,ethanheadspace/mysql,https://hub.docker.com/r/ethanheadspace/mysql,no,
44040,java,forgerock/java,https://hub.docker.com/r/forgerock/java,good,
72546,mongo,jbanetwork/mongodb,https://hub.docker.com/r/jbanetwork/mongodb,no,
30766,cassandra,sdtdensimag/cassandra,https://hub.docker.com/r/sdtdensimag/cassandra,no,
124461,mysql,xaragroup/mysql,https://hub.docker.com/r/xaragroup/mysql,no,
115474,mysql,openstec/mysql,https://hub.docker.com/r/openstec/mysql,no,
74072,mongo,kapost/mongo,https://hub.docker.com/r/kapost/mongo,no,
74163,mongo,kardasz/mongodb,https://hub.docker.com/r/kardasz/mongodb,no,
97517,mysql,danmactough/mysql,https://hub.docker.com/r/danmactough/mysql,weak,
93299,mysql,atlo/mysql,https://hub.docker.com/r/atlo/mysql,no,
139569,nginx,myprod/nginx,https://hub.docker.com/r/myprod/nginx,no,
133985,nginx,gridium/nginx,https://hub.docker.com/r/gridium/nginx,no,
145885,nginx,waja/nginx,https://hub.docker.com/r/waja/nginx,no,
125265,mysql,yfix/mysql,https://hub.docker.com/r/yfix/mysql,weak,
111125,mysql,maestrano/mysql,https://hub.docker.com/r/maestrano/mysql,weak,
120099,mysql,suet/mysql,https://hub.docker.com/r/suet/mysql,no,
143999,nginx,spalmalo/nginx,https://hub.docker.com/r/spalmalo/nginx,no,
120789,mysql,takeyamajp/mysql,https://hub.docker.com/r/takeyamajp/mysql,weak,
129714,nginx,cameronmalek/nginx,https://hub.docker.com/r/cameronmalek/nginx,good,1
131576,nginx,edyan/nginx,https://hub.docker.com/r/edyan/nginx,good,
125882,nginx,abema/nginx,https://hub.docker.com/r/abema/nginx,no,
52200,java,odpks/java,https://hub.docker.com/r/odpks/java,no,
115080,mysql,openbmp/mysql,https://hub.docker.com/r/openbmp/mysql,good,
72357,mongo,jacksoncage/mongo,https://hub.docker.com/r/jacksoncage/mongo,good,
